theta,omega
0.761905,-0.567516
0.755892,-0.635025
0.749206,-0.70208
0.741852,-0.768631
0.733835,-0.834626
0.725161,-0.900013
0.715837,-0.964739
0.705869,-1.02875
0.695265,-1.092
0.684032,-1.15442
0.672179,-1.21596
0.659716,-1.27657
0.646651,-1.33619
0.632995,-1.39477
0.618759,-1.45224
0.603955,-1.50855
0.588593,-1.56364
0.572686,-1.61746
0.556248,-1.66994
0.539292,-1.72103
0.521832,-1.77067
0.503883,-1.81881
0.485461,-1.86539
0.466581,-1.91034
0.44726,-1.95363
0.427514,-1.99518
0.407362,-2.03496
0.386821,-2.0729
0.36591,-2.10895
0.344649,-2.14308
0.323055,-2.17523
0.301151,-2.20535
0.278955,-2.23341
0.25649,-2.25936
0.233775,-2.28317
0.210833,-2.3048
0.187686,-2.32422
0.164356,-2.3414
0.140866,-2.35632
0.117238,-2.36894
0.0934948,-2.37926
0.0696603,-2.38725
0.0457575,-2.39291
0.0218098,-2.39623
-0.0021592,-2.39719
-0.0261261,-2.3958
-0.0500674,-2.39207
-0.0739596,-2.38599
-0.0977794,-2.37757
-0.121503,-2.36684
-0.145108,-2.3538
-0.168572,-2.33847
-0.19187,-2.32089
-0.214982,-2.30107
-0.237884,-2.27904
-0.260556,-2.25485
-0.282974,-2.22851
-0.305119,-2.20008
-0.326969,-2.16959
-0.348504,-2.13708
-0.369704,-2.1026
-0.390549,-2.0662
-0.411022,-2.02792
-0.431102,-1.98783
-0.450772,-1.94596
-0.470015,-1.90237
-0.488814,-1.85711
-0.507152,-1.81025
-0.525014,-1.76184
-0.542384,-1.71193
-0.559248,-1.66059
-0.575591,-1.60786
-0.5914,-1.55381
-0.606663,-1.49849
-0.621366,-1.44197
-0.635499,-1.38429
-0.649049,-1.32553
-0.662006,-1.26572
-0.67436,-1.20494
-0.686101,-1.14324
-0.697222,-1.08066
-0.707712,-1.01728
-0.717565,-0.953131
-0.726772,-0.888281
-0.735328,-0.822781
-0.743226,-0.756682
-0.75046,-0.690036
-0.757025,-0.622895
-0.762916,-0.55531
-0.76813,-0.487332
-0.772662,-0.419009
-0.776509,-0.350392
-0.779669,-0.28153
-0.782139,-0.212471
-0.783918,-0.143264
-0.785004,-0.0739583
-0.785397,-0.0046008
-0.785096,0.0647598
-0.784102,0.134076
-0.782415,0.203298
-0.780036,0.272379
-0.776968,0.34127
-0.773211,0.409923
-0.76877,0.478287
-0.763647,0.546315
-0.757845,0.613955
-0.751369,0.681157
-0.744224,0.747872
-0.736414,0.814046
-0.727945,0.879629
-0.718823,0.944568
-0.709056,1.00881
-0.698649,1.0723
-0.687612,1.13498
-0.675953,1.19681
-0.663679,1.25772
-0.650802,1.31765
-0.63733,1.37656
-0.623274,1.43438
-0.608646,1.49106
-0.593457,1.54654
-0.577719,1.60076
-0.561446,1.65367
-0.54465,1.7052
-0.527347,1.75531
-0.509549,1.80392
-0.491273,1.85099
-0.472535,1.89646
-0.45335,1.94027
-0.433735,1.98237
-0.413708,2.02271
-0.393287,2.06123
-0.37249,2.09788
-0.351336,2.13262
-0.329844,2.16539
-0.308035,2.19615
-0.285928,2.22486
-0.263544,2.25147
-0.240905,2.27596
-0.218033,2.29827
-0.194947,2.31839
-0.171672,2.33627
-0.148229,2.3519
-0.124642,2.36524
-0.100932,2.37628
-0.077124,2.385
-0.0532401,2.39139
-0.0293039,2.39544
-0.00533906,2.39714
0.0186311,2.39649
0.0425829,2.39349
0.066493,2.38814
0.0903379,2.38045
0.114094,2.37044
0.137739,2.35812
0.161249,2.34351
0.184602,2.32663
0.207774,2.30751
0.230744,2.28617
0.25349,2.26265
0.27599,2.23698
0.298223,2.20919
0.320167,2.17934
0.341803,2.14746
0.36311,2.11359
0.384068,2.07779
0.404659,2.04009
0.424864,2.00056
0.444665,1.95924
0.464043,1.91618
0.482983,1.87144
0.501467,1.82508
0.519479,1.77715
0.537004,1.7277
0.554028,1.6768
0.570536,1.6245
0.586514,1.57085
0.601949,1.51593
0.616828,1.45977
0.63114,1.40245
0.644873,1.34402
0.658017,1.28454
0.670561,1.22406
0.682495,1.16263
0.693811,1.10032
0.704499,1.03719
0.714552,0.973273
0.723962,0.908638
0.732722,0.843336
0.740826,0.777419
0.748269,0.710938
0.755044,0.643947
0.761146,0.576495
0.766572,0.508634
0.771318,0.440414
0.775379,0.371884
0.778754,0.303093
0.78144,0.23409
0.783436,0.164925
0.784739,0.0956446
0.785348,0.026298
0.785264,-0.0430668
0.784487,-0.112402
0.783017,-0.181659
0.780854,-0.250789
0.778001,-0.319745
0.77446,-0.388477
0.770233,-0.456937
0.765322,-0.525075
0.759733,-0.592842
0.753467,-0.660187
0.74653,-0.727059
0.738928,-0.793408
0.730664,-0.859182
0.721746,-0.924328
0.71218,-0.988793
0.701973,-1.05252
0.691132,-1.11547
0.679666,-1.17757
0.667584,-1.23877
0.654894,-1.29901
0.641607,-1.35825
0.627733,-1.41642
0.613282,-1.47346
0.598267,-1.52932
0.5827,-1.58394
0.566593,-1.63727
0.549959,-1.68923
0.532813,-1.73979
0.515168,-1.78888
0.49704,-1.83644
0.478445,-1.88241
0.459398,-1.92675
0.439916,-1.96939
0.420016,-2.01028
0.399716,-2.04938
0.379034,-2.08662
0.35799,-2.12196
0.336602,-2.15535
0.314889,-2.18675
0.292873,-2.2161
0.270574,-2.24338
0.248013,-2.26853
0.225211,-2.29153
0.20219,-2.31233
0.178972,-2.33092
0.155579,-2.34725
0.132034,-2.36131
0.10836,-2.37308
0.0845803,-2.38253
0.0607175,-2.38965
0.0367952,-2.39443
0.0128368,-2.39686
-0.0111342,-2.39695
-0.0350943,-2.39468
-0.0590199,-2.39006
-0.0828877,-2.38311
-0.106674,-2.37382
-0.130356,-2.36222
-0.153911,-2.34833
-0.177315,-2.33215
-0.200547,-2.31373
-0.223583,-2.29308
-0.246401,-2.27024
-0.26898,-2.24523
-0.291299,-2.21811
-0.313335,-2.1889
-0.33507,-2.15765
-0.356482,-2.1244
-0.377551,-2.08919
-0.398259,-2.05209
-0.418587,-2.01312
-0.438516,-1.97235
-0.458028,-1.92983
-0.477107,-1.88562
-0.495735,-1.83975
-0.513896,-1.79231
-0.531576,-1.74333
-0.548758,-1.69287
-0.565429,-1.641
-0.581574,-1.58777
-0.59718,-1.53324
-0.612234,-1.47747
-0.626725,-1.42051
-0.640641,-1.36242
-0.65397,-1.30325
-0.666702,-1.24308
-0.678828,-1.18194
-0.690338,-1.11991
-0.701223,-1.05702
-0.711476,-0.993345
-0.721088,-0.92893
-0.730052,-0.863831
-0.738362,-0.7981
-0.746012,-0.73179
-0.752996,-0.664953
-0.75931,-0.59764
-0.764948,-0.529902
-0.769907,-0.461788
-0.774182,-0.39335
-0.777773,-0.324635
-0.780674,-0.255694
-0.782886,-0.186574
-0.784405,-0.117324
-0.785232,-0.0479934
-0.785365,0.0213708
-0.784805,0.0907203
-0.783551,0.160007
-0.781605,0.229182
-0.778968,0.298198
-0.775642,0.367005
-0.771629,0.435556
-0.766932,0.5038
-0.761554,0.571688
-0.755499,0.63917
-0.748772,0.706196
-0.741377,0.772714
-0.73332,0.838673
-0.724606,0.904021
-0.715241,0.968705
-0.705234,1.03267
-0.694591,1.09587
-0.683319,1.15823
-0.671429,1.21972
-0.658928,1.28027
-0.645827,1.33983
-0.632135,1.39834
-0.617864,1.45574
-0.603024,1.51198
-0.587628,1.56699
-0.571688,1.62073
-0.555218,1.67313
-0.53823,1.72413
-0.52074,1.77368
-0.502762,1.82173
-0.484311,1.8682
-0.465403,1.91306
-0.446055,1.95624
-0.426284,1.99768
-0.406107,2.03735
-0.385543,2.07517
-0.36461,2.11111
-0.343327,2.14512
-0.321714,2.17714
-0.299791,2.20714
-0.277579,2.23507
-0.255097,2.26089
-0.232368,2.28457
-0.209413,2.30606
-0.186254,2.32535
-0.162913,2.34239
-0.139414,2.35716
-0.115778,2.36964
-0.0920286,2.37982
-0.0681892,2.38767
-0.044283,2.39318
-0.0203333,2.39635
0.00363628,2.39717
0.0276023,2.39564
0.0515412,2.39176
0.0754297,2.38553
0.0992442,2.37698
0.122961,2.3661
0.146558,2.35292
0.170012,2.33746
0.1933,2.31973
0.216399,2.29978
0.239288,2.27762
0.261945,2.25328
0.284347,2.22682
0.306474,2.19826
0.328305,2.16764
0.34982,2.13501
0.370999,2.10041
0.391822,2.06389
0.41227,2.02551
0.432326,1.9853
0.45197,1.94332
0.471187,1.89963
0.489957,1.85427
0.508267,1.80732
0.526099,1.75881
0.543438,1.70881
0.56027,1.65738
0.576581,1.60457
0.592357,1.55043
0.607585,1.49504
0.622254,1.43845
0.63635,1.3807
0.649864,1.32187
0.662784,1.26201
0.675101,1.20116
0.686805,1.1394
0.697886,1.07678
0.708337,1.01334
0.718151,0.949155
0.727318,0.884264
0.735834,0.818725
0.743691,0.752591
0.750884,0.685913
0.757407,0.618743
0.763257,0.551133
0.768429,0.483131
0.772919,0.414789
0.776724,0.346155
0.779841,0.27728
0.782268,0.20821
0.784005,0.138996
0.785048,0.0696856
0.785398,0.00032658
0.785055,-0.0690327
0.784018,-0.138344
0.782288,-0.207559
0.779867,-0.27663
0.776756,-0.345508
0.772958,-0.414144
0.768474,-0.482489
0.763309,-0.550494
0.757466,-0.618109
0.750948,-0.685283
0.743762,-0.751965
0.735911,-0.818105
0.727401,-0.88365
0.71824,-0.948547
0.708433,-1.01274
0.697988,-1.07619
0.686912,-1.13882
0.675214,-1.20059
0.662903,-1.26144
0.649989,-1.32131
0.63648,-1.38015
0.622389,-1.43791
0.607726,-1.49452
0.592503,-1.54992
0.576732,-1.60406
0.560426,-1.65689
0.543599,-1.70833
0.526264,-1.75834
0.508437,-1.80687
0.490132,-1.85384
0.471365,-1.89921
0.452153,-1.94292
0.432513,-1.98491
0.412461,-2.02514
0.392016,-2.06354
0.371196,-2.10008
0.350021,-2.13469
0.328509,-2.16734
0.306681,-2.19798
0.284556,-2.22656
0.262157,-2.25305
0.239503,-2.2774
0.216616,-2.29958
0.193518,-2.31955
0.170232,-2.3373
0.14678,-2.35278
0.123184,-2.36599
0.099468,-2.37689
0.0756543,-2.38547
0.0517665,-2.39171
0.0278279,-2.39561
0.00386199,-2.39717
-0.0201077,-2.39637
-0.0440576,-2.39323
-0.0679644,-2.38773
-0.0918045,-2.3799
-0.115555,-2.36975
-0.139192,-2.35729
-0.162693,-2.34254
-0.186035,-2.32552
-0.209196,-2.30626
-0.232153,-2.28478
-0.254884,-2.26113
-0.277368,-2.23532
-0.299584,-2.20741
-0.321509,-2.17744
-0.343125,-2.14543
-0.364411,-2.11144
-0.385348,-2.07552
-0.405916,-2.03771
-0.426096,-1.99807
-0.445871,-1.95664
-0.465223,-1.91347
-0.484135,-1.86863
-0.50259,-1.82217
-0.520573,-1.77414
-0.538068,-1.72461
-0.55506,-1.67362
-0.571536,-1.62123
-0.58748,-1.5675
-0.602882,-1.5125
-0.617726,-1.45628
-0.632003,-1.39888
-0.6457,-1.34039
-0.658807,-1.28084
-0.671314,-1.2203
-0.68321,-1.15882
-0.694487,-1.09646
-0.705137,-1.03327
-0.71515,-0.969311
-0.72452,-0.904633
-0.733241,-0.839292
-0.741304,-0.773338
-0.748705,-0.706825
-0.755439,-0.639803
-0.7615,-0.572325
-0.766884,-0.504441
-0.771588,-0.4362
-0.775607,-0.367652
-0.77894,-0.298847
-0.781583,-0.229833
-0.783536,-0.160659
-0.784796,-0.0913731
-0.785363,-0.022024
-0.785237,0.0473404
-0.784416,0.116672
-0.782903,0.185922
-0.780698,0.255044
-0.777803,0.323987
-0.774219,0.392704
-0.76995,0.461145
-0.764998,0.529262
-0.759366,0.597004
-0.753059,0.664322
-0.746081,0.731163
-0.738437,0.797478
-0.730134,0.863215
-0.721175,0.92832
-0.711569,0.992741
-0.701323,1.05643
-0.690444,1.11932
-0.678939,1.18136
-0.666819,1.24251
-0.654092,1.30269
-0.640769,1.36186
-0.626859,1.41996
-0.612373,1.47694
-0.597324,1.53272
-0.581723,1.58727
-0.565583,1.64051
-0.548917,1.69239
-0.53174,1.74286
-0.514065,1.79185
-0.495908,1.83932
-0.477284,1.88519
-0.45821,1.92943
-0.438701,1.97196
-0.418776,2.01275
-0.398452,2.05173
-0.377748,2.08885
-0.356682,2.12407
-0.335273,2.15734
-0.313541,2.18862
-0.291507,2.21784
-0.269192,2.24499
-0.246615,2.27001
-0.223798,2.29287
-0.200765,2.31354
-0.177535,2.33199
-0.154132,2.34818
-0.130579,2.3621
-0.106898,2.37373
-0.0831121,2.38303
-0.059245,2.39001
-0.0353198,2.39465
-0.0113599,2.39694
0.0126111,2.39687
0.0365697,2.39446
0.0604925,2.3897
0.084356,2.3826
0.108137,2.37318
0.131812,2.36143
0.155358,2.3474
0.178752,2.33108
0.201972,2.31252
0.224995,2.29173
0.247799,2.26876
0.270363,2.24362
0.292665,2.21637
0.314684,2.18703
0.336399,2.15566
0.35779,2.12228
0.378838,2.08696
0.399523,2.04974
0.419826,2.01066
0.43973,1.96978
0.459216,1.92716
0.478268,1.88284
0.496868,1.83688
0.515,1.78933
0.532649,1.74026
0.5498,1.68972
0.566439,1.63776
0.582551,1.58445
0.598123,1.52984
0.613144,1.47399
0.627599,1.41696
0.641479,1.3588
0.654772,1.29957
0.667467,1.23934
0.679555,1.17815
0.691027,1.11605
0.701874,1.05312
0.712087,0.989396
0.721659,0.924938
0.730583,0.859798
0.738853,0.79403
0.746462,0.727687
0.753405,0.660819
0.759677,0.593478
0.765273,0.525715
0.77019,0.45758
0.774424,0.389123
0.777971,0.320393
0.780831,0.251439
0.783,0.18231
0.784476,0.113054
0.78526,0.0437199
0.785351,-0.0256449
0.784748,-0.0949919
0.783451,-0.164273
0.781462,-0.23344
0.778783,-0.302444
0.775414,-0.371237
0.771359,-0.43977
0.76662,-0.507994
0.7612,-0.575858
0.755104,-0.643314
0.748336,-0.71031
0.7409,-0.776795
0.732802,-0.842718
0.724047,-0.908026
0.714643,-0.972668
0.704596,-1.03659
0.693914,-1.09973
0.682604,-1.16205
0.670676,-1.22348
0.658138,-1.28397
0.645,-1.34347
0.631272,-1.40191
0.616965,-1.45924
0.602091,-1.5154
0.586661,-1.57034
0.570689,-1.624
0.554186,-1.67631
0.537167,-1.72723
0.519646,-1.77669
0.501638,-1.82464
0.483159,-1.87102
0.464223,-1.91577
0.444849,-1.95884
0.425052,-2.00018
0.404851,-2.03973
0.384264,-2.07744
0.363309,-2.11327
0.342005,-2.14715
0.320372,-2.17905
0.298431,-2.20892
0.276201,-2.23672
0.253703,-2.26241
0.23096,-2.28596
0.207992,-2.30732
0.184821,-2.32646
0.16147,-2.34336
0.137961,-2.358
0.114317,-2.37034
0.090562,-2.38037
0.0667178,-2.38808
0.0428083,-2.39345
0.0188567,-2.39647
-0.00511334,-2.39715
-0.0290784,-2.39547
-0.0530149,-2.39144
-0.0768994,-2.38507
-0.100709,-2.37637
-0.124419,-2.36535
-0.148008,-2.35203
-0.171452,-2.33643
-0.194729,-2.31857
-0.217816,-2.29847
-0.240691,-2.27618
-0.263332,-2.25172
-0.285718,-2.22512
-0.307828,-2.19643
-0.32964,-2.16569
-0.351135,-2.13293
-0.372292,-2.09822
-0.393093,-2.06158
-0.413518,-2.02308
-0.433548,-1.98276
-0.453167,-1.94068
-0.472356,-1.89688
-0.491099,-1.85143
-0.509379,-1.80437
-0.527181,-1.75577
-0.54449,-1.70568
-0.56129,-1.65416
-0.577568,-1.60127
-0.593311,-1.54706
-0.608505,-1.49159
-0.623139,-1.43492
-0.6372,-1.37711
-0.650678,-1.31821
-0.663561,-1.25828
-0.67584,-1.19739
-0.687505,-1.13557
-0.698548,-1.07289
-0.708961,-1.00941
-0.718734,-0.945176
-0.727862,-0.880244
-0.736337,-0.814667
-0.744153,-0.748497
-0.751305,-0.681788
-0.757787,-0.61459
-0.763595,-0.546953
-0.768725,-0.47893
-0.773173,-0.410568
-0.776936,-0.341918
-0.78001,-0.273029
-0.782395,-0.203949
-0.784089,-0.134728
-0.78509,-0.0654128
-0.785397,0.00394764
-0.785011,0.0733053
-0.783931,0.142612
-0.782159,0.21182
-0.779695,0.28088
-0.776542,0.349745
-0.772701,0.418364
-0.768176,0.48669
-0.762968,0.554672
-0.757083,0.622261
-0.750525,0.689406
-0.743297,0.756057
-0.735405,0.822161
-0.726856,0.887668
-0.717654,0.952523
-0.707808,1.01667
-0.697323,1.08007
-0.686209,1.14265
