x,v
-0.794988,-1.01495
-0.805137,-0.933419
-0.814472,-0.851039
-0.822982,-0.76789
-0.830661,-0.684056
-0.837501,-0.599621
-0.843498,-0.514672
-0.848644,-0.429293
-0.852937,-0.34357
-0.856373,-0.257589
-0.858949,-0.171437
-0.860663,-0.0851989
-0.861515,0.00103786
-0.861505,0.0871873
-0.860633,0.173163
-0.858901,0.25888
-0.856313,0.344253
-0.85287,0.429195
-0.848578,0.513624
-0.843442,0.597455
-0.837467,0.680604
-0.830661,0.762989
-0.823031,0.84453
-0.814586,0.925144
-0.805335,1.00475
-0.795287,1.08328
-0.784454,1.16064
-0.772848,1.23676
-0.76048,1.31157
-0.747365,1.385
-0.733515,1.45696
-0.718945,1.5274
-0.703671,1.59624
-0.687708,1.66342
-0.671074,1.72886
-0.653786,1.79251
-0.635861,1.8543
-0.617318,1.91418
-0.598176,1.97208
-0.578455,2.02796
-0.558175,2.08175
-0.537358,2.1334
-0.516024,2.18287
-0.494195,2.23011
-0.471894,2.27507
-0.449143,2.31771
-0.425966,2.35798
-0.402386,2.39587
-0.378428,2.43131
-0.354115,2.46429
-0.329472,2.49478
-0.304524,2.52273
-0.279297,2.54814
-0.253815,2.57097
-0.228106,2.59121
-0.202193,2.60884
-0.176105,2.62384
-0.149867,2.63621
-0.123505,2.64592
-0.0970453,2.65298
-0.0705155,2.65738
-0.0439418,2.65911
-0.0173506,2.65819
0.00923128,2.65461
0.0357774,2.64838
0.0622611,2.6395
0.0886561,2.628
0.114936,2.61387
0.141075,2.59715
0.167046,2.57785
0.192825,2.55599
0.218385,2.5316
0.243701,2.5047
0.268748,2.47532
0.293501,2.44349
0.317936,2.40925
0.342028,2.37264
0.365755,2.33369
0.389092,2.29245
0.412016,2.24896
0.434506,2.20326
0.456538,2.1554
0.478092,2.10543
0.499147,2.05341
0.519681,1.99939
0.539675,1.94343
0.559109,1.88557
0.577965,1.82589
0.596224,1.76444
0.613868,1.70129
0.630881,1.6365
0.647246,1.57014
0.662947,1.50228
0.67797,1.43298
0.6923,1.36231
0.705923,1.29036
0.718827,1.21719
0.730998,1.14287
0.742427,1.06748
0.753102,0.991105
0.763013,0.913813
0.772151,0.835684
0.780508,0.756797
0.788076,0.677233
0.794848,0.597071
0.800819,0.516392
0.805983,0.435277
0.810336,0.353808
0.813874,0.272067
0.816594,0.190136
0.818496,0.108096
0.819577,0.0260301
0.819837,-0.0559796
0.819277,-0.137851
0.817899,-0.219503
0.815704,-0.300854
0.812695,-0.381823
0.808877,-0.462329
0.804254,-0.542292
0.798831,-0.621633
0.792614,-0.700272
0.785612,-0.778133
0.77783,-0.855138
0.769279,-0.931211
