x,v
-0.278342,-1.40771
-0.292419,-1.37706
-0.30619,-1.34506
-0.319641,-1.31175
-0.332758,-1.27717
-0.34553,-1.24134
-0.357943,-1.2043
-0.369986,-1.1661
-0.381647,-1.12677
-0.392915,-1.08635
-0.403778,-1.04488
-0.414227,-1.00242
-0.424251,-0.958989
-0.433841,-0.914646
-0.442988,-0.869432
-0.451682,-0.823395
-0.459916,-0.77658
-0.467682,-0.729035
-0.474972,-0.680809
-0.48178,-0.63195
-0.4881,-0.582508
-0.493925,-0.532533
-0.49925,-0.482075
-0.504071,-0.431186
-0.508383,-0.379917
-0.512182,-0.328319
-0.515465,-0.276444
-0.51823,-0.224344
-0.520473,-0.172073
-0.522194,-0.119681
-0.52339,-0.0672226
-0.524063,-0.0147491
-0.52421,0.0376866
-0.523833,0.0900323
-0.522933,0.142236
-0.521511,0.194244
-0.519568,0.246007
-0.517108,0.297472
-0.514133,0.348588
-0.510648,0.399304
-0.506655,0.44957
-0.502159,0.499336
-0.497165,0.548553
-0.49168,0.597173
-0.485708,0.645147
-0.479257,0.692427
-0.472332,0.738968
-0.464943,0.784723
-0.457096,0.829648
-0.448799,0.873698
-0.440062,0.916831
-0.430894,0.959003
-0.421304,1.00017
-0.411302,1.0403
-0.400899,1.07935
-0.390105,1.11729
-0.378933,1.15406
-0.367392,1.18965
-0.355495,1.22401
-0.343255,1.25711
-0.330684,1.28892
-0.317795,1.31941
-0.304601,1.34855
-0.291116,1.37631
-0.277352,1.40267
-0.263326,1.4276
-0.24905,1.45108
-0.234539,1.47308
-0.219808,1.49359
-0.204872,1.51258
-0.189746,1.53005
-0.174446,1.54596
-0.158986,1.56031
-0.143383,1.57309
-0.127652,1.58428
-0.111809,1.59388
-0.0958705,1.60187
-0.0798518,1.60826
-0.0637692,1.61303
-0.047639,1.61618
-0.0314772,1.61771
-0.0153001,1.61762
0.000876066,1.61591
0.0170352,1.6126
0.0331612,1.60767
0.0492378,1.60114
0.0652492,1.59301
0.0811793,1.5833
0.0970123,1.57201
0.112732,1.55917
0.128324,1.54478
0.143772,1.52885
0.15906,1.51142
0.174175,1.49249
0.189099,1.47209
0.20382,1.45023
0.218323,1.42695
0.232592,1.40227
0.246615,1.3762
0.260377,1.34879
0.273865,1.32005
0.287065,1.29003
0.299966,1.25874
0.312553,1.22623
0.324815,1.19252
0.33674,1.15765
0.348317,1.12166
0.359534,1.08459
0.370379,1.04646
0.380844,1.00733
0.390917,0.967234
0.40059,0.926208
0.409852,0.884297
0.418695,0.841543
0.42711,0.797991
0.43509,0.753684
0.442627,0.708667
0.449714,0.662987
0.456344,0.61669
0.46251,0.569822
0.468209,0.522431
0.473433,0.474566
0.478179,0.426273
0.482441,0.377603
0.486217,0.328603
0.489503,0.279325
0.492297,0.229816
0.494595,0.180126
0.496396,0.130306
0.497699,0.0804063
0.498503,0.0304756
0.498808,-0.0194357
0.498614,-0.0692776
0.497921,-0.119
0.496731,-0.168555
0.495045,-0.21789
0.492866,-0.266959
0.490197,-0.315712
0.48704,-0.3641
0.483399,-0.412076
0.479278,-0.459592
0.474682,-0.5066
0.469616,-0.553055
0.464085,-0.598911
0.458096,-0.644121
0.451655,-0.688643
0.444769,-0.732431
0.437444,-0.775443
0.42969,-0.817637
0.421514,-0.85897
0.412924,-0.899404
0.40393,-0.938897
0.394541,-0.977413
0.384767,-1.01491
0.374618,-1.05136
0.364104,-1.08672
0.353237,-1.12095
0.342027,-1.15404
0.330487,-1.18593
0.318628,-1.21661
0.306462,-1.24604
0.294001,-1.27419
0.281259,-1.30104
0.268249,-1.32657
0.254983,-1.35074
0.241476,-1.37354
0.22774,-1.39494
0.213791,-1.41492
0.199642,-1.43347
0.185307,-1.45057
0.170801,-1.4662
0.156139,-1.48034
0.141336,-1.493
0.126406,-1.50415
0.111365,-1.51378
0.0962268,-1.52189
0.081008,-1.52847
0.0657233,-1.53351
0.0503882,-1.53701
0.0350181,-1.53898
0.0196283,-1.5394
0.00423428,-1.53829
-0.0111486,-1.53563
-0.0265049,-1.53145
-0.0418194,-1.52573
-0.0570768,-1.5185
-0.0722618,-1.50976
-0.0873593,-1.49951
-0.102354,-1.48778
-0.117232,-1.47456
-0.131978,-1.45989
-0.146577,-1.44377
-0.161015,-1.42623
-0.175277,-1.40728
-0.18935,-1.38693
-0.203219,-1.36522
-0.216871,-1.34217
-0.230293,-1.3178
-0.243471,-1.29214
-0.256392,-1.2652
-0.269044,-1.23703
-0.281415,-1.20766
-0.293491,-1.1771
-0.305262,-1.1454
-0.316716,-1.11258
-0.327842,-1.07868
-0.338629,-1.04374
-0.349066,-1.00779
-0.359144,-0.970868
-0.368853,-0.933012
-0.378183,-0.894261
-0.387125,-0.854654
-0.395672,-0.814232
-0.403814,-0.773037
-0.411545,-0.731109
-0.418856,-0.688492
-0.425741,-0.64523
-0.432193,-0.601365
-0.438207,-0.556943
-0.443776,-0.512009
-0.448896,-0.466607
-0.453562,-0.420784
-0.45777,-0.374586
-0.461516,-0.32806
-0.464797,-0.281253
-0.467609,-0.23421
-0.469951,-0.186981
-0.471821,-0.139612
-0.473217,-0.0921507
-0.474139,-0.0446446
-0.474585,0.00285851
-0.474557,0.0503113
-0.474053,0.0976663
-0.473077,0.144876
-0.471628,0.191894
-0.469709,0.238673
-0.467322,0.285167
-0.464471,0.331329
-0.461157,0.377113
-0.457386,0.422475
-0.453161,0.467368
-0.448488,0.51175
-0.44337,0.555575
-0.437815,0.598801
-0.431827,0.641385
-0.425413,0.683285
-0.41858,0.724459
-0.411335,0.764868
-0.403687,0.804472
-0.395642,0.843232
-0.38721,0.88111
-0.378398,0.918068
-0.369218,0.954072
-0.359677,0.989086
-0.349786,1.02308
-0.339555,1.05601
-0.328995,1.08785
-0.318117,1.11858
-0.306931,1.14815
-0.29545,1.17655
-0.283684,1.20374
-0.271647,1.2297
-0.25935,1.2544
-0.246806,1.27783
-0.234027,1.29996
-0.221028,1.32076
-0.20782,1.34022
-0.194418,1.35832
-0.180835,1.37505
-0.167084,1.39038
-0.153181,1.40431
-0.139138,1.41682
-0.124969,1.4279
-0.11069,1.43754
-0.096315,1.44573
-0.0818577,1.45247
-0.0673329,1.45775
-0.0527554,1.46157
-0.0381397,1.46392
-0.0235005,1.46481
-0.00885238,1.46423
0.00578991,1.46219
0.0204118,1.45868
0.0349986,1.45372
0.0495359,1.44732
0.064009,1.43947
0.0784037,1.43019
0.0927056,1.41949
0.1069,1.40738
0.120974,1.39387
0.134913,1.37899
0.148703,1.36274
0.16233,1.34514
0.175782,1.32622
0.189044,1.30599
0.202104,1.28447
0.214949,1.26169
0.227566,1.23768
0.239942,1.21244
0.252067,1.18602
0.263927,1.15845
0.275511,1.12974
0.286809,1.09993
0.297808,1.06905
0.308499,1.03713
0.31887,1.0042
0.328912,0.970307
0.338615,0.935475
0.34797,0.899743
0.356967,0.863146
0.365599,0.825723
0.373856,0.787512
0.381731,0.748551
0.389216,0.708881
0.396305,0.668542
0.402991,0.627574
0.409266,0.58602
0.415127,0.543921
0.420566,0.501321
0.425579,0.458262
0.430162,0.414787
0.434309,0.370941
0.438019,0.326769
0.441287,0.282313
0.44411,0.23762
0.446486,0.192734
0.448413,0.1477
0.44989,0.102563
0.450916,0.0573687
0.45149,0.0121624
0.451611,-0.0330109
0.451281,-0.078106
0.4505,-0.123078
0.449269,-0.167882
0.44759,-0.212473
0.445466,-0.256807
0.442898,-0.30084
0.439889,-0.344528
0.436444,-0.387828
0.432566,-0.430697
0.428259,-0.473092
0.423528,-0.514971
0.418378,-0.556294
0.412815,-0.59702
0.406845,-0.637107
0.400474,-0.676517
0.393709,-0.715212
0.386557,-0.753152
0.379025,-0.790301
0.371122,-0.826623
0.362856,-0.862082
0.354235,-0.896644
0.345269,-0.930274
0.335966,-0.96294
0.326336,-0.994611
0.31639,-1.02526
0.306138,-1.05484
0.295589,-1.08335
0.284756,-1.11074
0.273648,-1.13699
0.262278,-1.16209
0.250658,-1.18599
0.238798,-1.20868
0.226711,-1.23014
0.214409,-1.25036
0.201906,-1.2693
0.189213,-1.28695
0.176343,-1.3033
0.16331,-1.31832
0.150127,-1.33202
0.136807,-1.34437
0.123363,-1.35536
0.10981,-1.36498
0.09616,-1.37323
0.0824277,-1.3801
0.0686266,-1.38559
0.0547707,-1.38968
0.040874,-1.39238
0.0269502,-1.39368
0.0130134,-1.39359
-0.000922454,-1.3921
-0.0148435,-1.38922
-0.0287357,-1.38496
-0.0425853,-1.37932
-0.0563785,-1.3723
-0.0701015,-1.36392
-0.0837407,-1.35418
-0.0972825,-1.3431
-0.110713,-1.33068
-0.12402,-1.31695
-0.13719,-1.30191
-0.150209,-1.28559
-0.163065,-1.268
-0.175745,-1.24916
-0.188236,-1.22908
-0.200527,-1.2078
-0.212605,-1.18533
-0.224459,-1.1617
-0.236076,-1.13693
-0.247445,-1.11105
-0.258556,-1.08409
-0.269396,-1.05606
-0.279957,-1.02701
-0.290227,-0.996961
-0.300197,-0.965944
-0.309856,-0.933992
-0.319196,-0.901139
-0.328207,-0.867417
-0.336882,-0.832861
-0.34521,-0.797508
-0.353185,-0.761391
-0.360799,-0.72455
-0.368045,-0.687021
-0.374915,-0.648843
-0.381403,-0.610053
-0.387504,-0.570693
-0.393211,-0.530801
-0.398519,-0.490418
-0.403423,-0.449586
-0.407919,-0.408344
-0.412002,-0.366736
-0.41567,-0.324802
-0.418918,-0.282585
-0.421744,-0.240128
-0.424145,-0.197474
-0.42612,-0.154664
-0.427666,-0.111743
-0.428784,-0.068753
-0.429471,-0.0257371
-0.429729,0.0172615
-0.429556,0.0601998
-0.428954,0.103035
-0.427924,0.145724
-0.426466,0.188225
-0.424584,0.230495
-0.422279,0.272493
-0.419554,0.314176
-0.416413,0.355503
-0.412857,0.396433
-0.408893,0.436926
-0.404524,0.476941
-0.399754,0.51644
-0.39459,0.555383
-0.389036,0.593731
-0.383099,0.631447
-0.376784,0.668494
-0.3701,0.704835
-0.363051,0.740436
-0.355647,0.77526
-0.347894,0.809274
-0.339801,0.842445
-0.331377,0.87474
-0.32263,0.906128
-0.313568,0.936579
-0.304203,0.966063
-0.294542,0.994551
-0.284596,1.02202
-0.274376,1.04843
-0.263892,1.07377
-0.253154,1.09801
-0.242174,1.12113
-0.230963,1.14311
-0.219532,1.16392
-0.207892,1.18354
-0.196057,1.20197
-0.184037,1.21917
-0.171846,1.23513
-0.159494,1.24985
-0.146996,1.2633
-0.134363,1.27547
-0.121608,1.28636
-0.108745,1.29594
-0.0957852,1.30423
-0.0827429,1.3112
-0.069631,1.31685
-0.0564625,1.32118
-0.0432507,1.32418
-0.0300089,1.32586
-0.0167503,1.32621
-0.00348824,1.32523
0.00976406,1.32293
0.0229933,1.31931
0.0361864,1.31437
0.0493301,1.30812
0.0624113,1.30057
0.075417,1.29173
0.0883343,1.2816
0.10115,1.27021
0.113852,1.25755
0.126428,1.24365
0.138864,1.22852
0.15115,1.21218
0.163271,1.19464
0.175218,1.17592
0.186977,1.15605
0.198538,1.13504
0.209888,1.11292
0.221017,1.0897
0.231914,1.06542
0.242568,1.0401
0.252969,1.01376
0.263107,0.986436
0.272971,0.958152
0.282553,0.928939
0.291842,0.898826
0.30083,0.867844
0.309509,0.836025
0.317869,0.803402
0.325903,0.770008
0.333603,0.735878
0.340962,0.701046
0.347972,0.665548
0.354628,0.629419
0.360922,0.592698
0.366849,0.55542
0.372403,0.517624
0.37758,0.479349
0.382373,0.440632
0.386779,0.401514
0.390794,0.362033
0.394415,0.322229
0.397637,0.282143
0.400459,0.241815
0.402877,0.201286
0.40489,0.160595
0.406495,0.119785
0.407693,0.0788961
0.408482,0.037969
0.408862,-0.00295515
0.408832,-0.0438354
0.408394,-0.084631
0.407548,-0.125301
0.406295,-0.165805
0.404637,-0.206103
0.402576,-0.246155
0.400114,-0.28592
0.397255,-0.325359
0.394001,-0.364434
0.390357,-0.403106
0.386326,-0.441335
0.381913,-0.479085
0.377122,-0.516318
0.371959,-0.552998
0.366429,-0.589087
0.360538,-0.624552
0.354292,-0.659357
0.347699,-0.693467
0.340764,-0.72685
0.333495,-0.759473
0.325901,-0.791303
0.317988,-0.822311
0.309765,-0.852465
0.30124,-0.881737
0.292423,-0.910097
0.283322,-0.937519
0.273946,-0.963976
0.264307,-0.989443
0.254412,-1.01389
0.244273,-1.03731
0.2339,-1.05966
0.223304,-1.08093
0.212494,-1.1011
0.201483,-1.12015
0.190282,-1.13806
0.178901,-1.15481
0.167353,-1.17039
0.155649,-1.18478
0.143801,-1.19798
0.131822,-1.20996
0.119722,-1.22072
0.107515,-1.23026
0.0952122,-1.23855
0.0828268,-1.24559
0.0703709,-1.25138
0.0578571,-1.25592
0.0452979,-1.25919
0.032706,-1.2612
0.020094,-1.26195
0.0074745,-1.26143
-0.00513985,-1.25966
-0.0177364,-1.25663
-0.0303027,-1.25234
-0.0428261,-1.2468
-0.0552941,-1.24003
-0.0676944,-1.23202
-0.0800146,-1.22279
-0.0922425,-1.21234
-0.104366,-1.20069
-0.116373,-1.18785
-0.128251,-1.17384
-0.13999,-1.15867
-0.151576,-1.14235
-0.163,-1.12491
-0.174249,-1.10636
-0.185312,-1.08672
-0.19618,-1.06601
-0.20684,-1.04426
-0.217282,-1.02149
-0.227497,-0.997721
-0.237475,-0.972976
-0.247204,-0.947282
-0.256677,-0.920667
-0.265884,-0.893158
-0.274815,-0.864784
-0.283463,-0.835573
-0.291819,-0.805555
-0.299875,-0.774762
-0.307622,-0.743225
-0.315054,-0.710977
-0.322164,-0.678049
-0.328945,-0.644477
-0.335389,-0.610293
-0.341492,-0.575534
-0.347248,-0.540233
-0.35265,-0.504428
-0.357694,-0.468154
-0.362376,-0.431449
-0.36669,-0.394348
-0.370634,-0.35689
-0.374203,-0.319113
-0.377394,-0.281055
-0.380204,-0.242753
-0.382632,-0.204247
-0.384674,-0.165576
-0.38633,-0.126777
-0.387598,-0.0878904
-0.388477,-0.0489548
-0.388966,-0.0100092
-0.389066,0.0289074
-0.388777,0.0677562
-0.3881,0.106498
-0.387035,0.145095
-0.385584,0.183509
-0.383749,0.2217
-0.381532,0.259632
-0.378935,0.297266
-0.375963,0.334565
-0.372617,0.371492
-0.368902,0.40801
-0.364822,0.444085
-0.360381,0.479679
-0.355585,0.514757
-0.350437,0.549286
-0.344944,0.583231
-0.339112,0.616559
-0.332946,0.649237
-0.326454,0.681234
-0.319641,0.712517
-0.312516,0.743056
-0.305086,0.772821
-0.297358,0.801784
-0.28934,0.829916
-0.281041,0.85719
-0.272469,0.88358
-0.263633,0.90906
-0.254542,0.933605
-0.245206,0.957192
-0.235634,0.979798
-0.225836,1.0014
-0.215822,1.02198
-0.205602,1.04152
-0.195187,1.06
-0.184587,1.0774
-0.173813,1.0937
-0.162876,1.10889
-0.151787,1.12296
-0.140558,1.1359
-0.129199,1.14768
-0.117722,1.15831
-0.106139,1.16776
-0.0944612,1.17604
-0.0827008,1.18313
-0.0708694,1.18904
-0.0589791,1.19375
-0.0470416,1.19726
-0.035069,1.19957
-0.0230734,1.20067
-0.0110666,1.20058
0.000939189,1.19929
0.012932,1.19679
0.0249,1.19311
0.036831,1.18823
0.0487134,1.18217
0.0605351,1.17494
0.0722844,1.16653
0.0839497,1.15697
0.0955194,1.14626
0.106982,1.13442
0.118326,1.12145
0.129541,1.10737
0.140614,1.09221
0.151537,1.07596
0.162296,1.05865
0.172883,1.04031
0.183286,1.02094
0.193495,1.00057
0.203501,0.979217
0.213293,0.956909
0.222862,0.933666
0.232199,0.909512
0.241294,0.884473
0.250139,0.858575
0.258724,0.831844
0.267043,0.804308
0.275086,0.775995
0.282846,0.746934
0.290315,0.717156
0.297487,0.68669
0.304354,0.655568
0.310909,0.623821
0.317147,0.591483
0.323062,0.558585
0.328648,0.525162
0.3339,0.491247
0.338812,0.456874
0.343381,0.422079
0.347602,0.386897
0.351471,0.351363
0.354984,0.315513
0.35814,0.279384
0.360933,0.243011
0.363363,0.206432
0.365428,0.169682
0.367125,0.1328
0.368453,0.0958222
0.369411,0.0587853
0.369999,0.0217267
0.370216,-0.0153166
0.370063,-0.0523076
0.36954,-0.0892093
0.368648,-0.125985
0.367388,-0.162598
0.365762,-0.199011
0.363772,-0.235189
0.36142,-0.271096
0.358709,-0.306696
0.355642,-0.341953
0.352222,-0.376834
0.348454,-0.411302
0.344341,-0.445325
