x,y,vx,vy
44.7015,33.4624,22.1305,8.99357
44.9226,33.5518,22.0866,8.8777
45.1432,33.64,22.0429,8.76213
45.3634,33.727,21.9994,8.64684
45.5832,33.8129,21.9561,8.53184
45.8025,33.8977,21.9131,8.41712
46.0215,33.9813,21.8704,8.30269
46.24,34.0637,21.8278,8.18853
46.458,34.145,21.7855,8.07465
46.6757,34.2252,21.7434,7.96104
46.8929,34.3043,21.7015,7.84771
47.1097,34.3822,21.6599,7.73464
47.3261,34.459,21.6184,7.62184
47.5421,34.5346,21.5772,7.5093
47.7576,34.6091,21.5362,7.39703
47.9728,34.6826,21.4954,7.28501
48.1875,34.7548,21.4549,7.17325
48.4019,34.826,21.4145,7.06175
48.6158,34.8961,21.3743,6.9505
48.8294,34.965,21.3344,6.8395
49.0425,35.0329,21.2946,6.72874
49.2553,35.0996,21.2551,6.61824
49.4676,35.1652,21.2157,6.50797
49.6796,35.2298,21.1766,6.39795
49.8912,35.2932,21.1376,6.28817
50.1023,35.3555,21.0988,6.17862
50.3131,35.4168,21.0602,6.06931
50.5235,35.4769,21.0218,5.96024
50.7336,35.536,20.9836,5.85139
50.9432,35.594,20.9456,5.74278
51.1525,35.6508,20.9078,5.63439
51.3614,35.7066,20.8701,5.52623
51.5699,35.7614,20.8326,5.4183
51.778,35.815,20.7953,5.31058
51.9858,35.8676,20.7582,5.20309
52.1932,35.9191,20.7212,5.09581
52.4002,35.9695,20.6845,4.98875
52.6069,36.0188,20.6478,4.88191
52.8132,36.0671,20.6114,4.77528
53.0191,36.1144,20.5751,4.66886
53.2247,36.1605,20.539,4.56265
53.4299,36.2056,20.503,4.45665
53.6347,36.2496,20.4673,4.35085
53.8392,36.2926,20.4316,4.24527
54.0434,36.3345,20.3962,4.13988
54.2472,36.3754,20.3608,4.0347
54.4506,36.4152,20.3257,3.92971
54.6537,36.454,20.2907,3.82493
54.8564,36.4917,20.2558,3.72034
55.0588,36.5284,20.2211,3.61595
55.2608,36.5641,20.1865,3.51175
55.4625,36.5987,20.1521,3.40775
55.6639,36.6322,20.1178,3.30394
55.8649,36.6647,20.0837,3.20032
56.0655,36.6962,20.0497,3.09688
56.2659,36.7267,20.0159,2.99364
56.4659,36.7561,19.9822,2.89058
56.6655,36.7845,19.9486,2.78771
56.8648,36.8119,19.9152,2.68501
57.0638,36.8382,19.8818,2.58251
57.2625,36.8635,19.8487,2.48018
57.4608,36.8878,19.8156,2.37803
57.6588,36.9111,19.7827,2.27606
57.8564,36.9333,19.7499,2.17427
58.0538,36.9545,19.7173,2.07266
58.2508,36.9748,19.6847,1.97122
58.4475,36.994,19.6523,1.86996
58.6438,37.0122,19.62,1.76886
58.8399,37.0294,19.5879,1.66794
59.0356,37.0455,19.5558,1.56719
59.231,37.0607,19.5239,1.46662
59.4261,37.0749,19.4921,1.36621
59.6208,37.088,19.4604,1.26596
59.8153,37.1002,19.4288,1.16589
60.0094,37.1113,19.3973,1.06598
60.2032,37.1215,19.3659,0.966234
60.3967,37.1307,19.3347,0.866654
60.5899,37.1388,19.3035,0.767237
60.7828,37.146,19.2725,0.667982
60.9754,37.1522,19.2416,0.568888
61.1676,37.1574,19.2107,0.469955
61.3596,37.1616,19.18,0.371182
61.5512,37.1648,19.1494,0.272568
61.7426,37.167,19.1188,0.174111
61.9336,37.1683,19.0884,0.0758121
62.1243,37.1686,19.0581,-0.0223304
62.3148,37.1678,19.0278,-0.120317
62.5049,37.1662,18.9977,-0.218149
62.6947,37.1635,18.9676,-0.315826
62.8843,37.1598,18.9377,-0.41335
63.0735,37.1552,18.9078,-0.510721
63.2624,37.1496,18.878,-0.607939
63.451,37.1431,18.8483,-0.705006
63.6394,37.1355,18.8187,-0.801922
63.8274,37.127,18.7892,-0.898687
64.0152,37.1176,18.7598,-0.995303
64.2026,37.1071,18.7305,-1.09177
64.3898,37.0957,18.7012,-1.18809
64.5766,37.0834,18.672,-1.28426
64.7632,37.07,18.6429,-1.38028
64.9495,37.0558,18.6139,-1.47615
65.1355,37.0405,18.585,-1.57188
65.3212,37.0243,18.5561,-1.66746
65.5066,37.0072,18.5273,-1.7629
65.6917,36.9891,18.4986,-1.85819
65.8766,36.97,18.4699,-1.95334
66.0611,36.95,18.4414,-2.04834
66.2454,36.929,18.4129,-2.1432
66.4294,36.9071,18.3845,-2.23792
66.6131,36.8843,18.3561,-2.33249
66.7965,36.8605,18.3278,-2.42692
66.9797,36.8357,18.2996,-2.52121
67.1625,36.8101,18.2714,-2.61535
67.3451,36.7834,18.2433,-2.70936
67.5274,36.7559,18.2153,-2.80322
67.7094,36.7274,18.1874,-2.89694
67.8911,36.6979,18.1595,-2.99052
68.0726,36.6676,18.1316,-3.08396
68.2538,36.6363,18.1038,-3.17726
68.4347,36.604,18.0761,-3.27042
68.6153,36.5708,18.0485,-3.36344
68.7956,36.5367,18.0209,-3.45633
68.9757,36.5017,17.9933,-3.54907
69.1555,36.4658,17.9658,-3.64167
69.335,36.4289,17.9384,-3.73414
69.5143,36.3911,17.911,-3.82646
69.6932,36.3524,17.8837,-3.91865
69.8719,36.3127,17.8564,-4.0107
70.0504,36.2721,17.8292,-4.10261
70.2285,36.2307,17.802,-4.19438
70.4064,36.1883,17.7749,-4.28601
70.584,36.1449,17.7478,-4.37751
70.7614,36.1007,17.7208,-4.46887
70.9384,36.0556,17.6938,-4.56009
71.1152,36.0095,17.6669,-4.65117
71.2918,35.9625,17.64,-4.74212
71.468,35.9147,17.6131,-4.83293
71.644,35.8659,17.5863,-4.9236
71.8198,35.8162,17.5596,-5.01413
71.9952,35.7656,17.5329,-5.10453
72.1704,35.7141,17.5062,-5.19479
72.3454,35.6617,17.4795,-5.28491
72.52,35.6084,17.4529,-5.37489
72.6944,35.5542,17.4264,-5.46474
72.8685,35.4991,17.3999,-5.55445
73.0424,35.4431,17.3734,-5.64402
73.216,35.3862,17.3469,-5.73345
73.3894,35.3284,17.3205,-5.82275
73.5624,35.2698,17.2942,-5.91191
73.7352,35.2102,17.2678,-6.00093
73.9078,35.1498,17.2415,-6.08982
74.0801,35.0884,17.2152,-6.17856
74.2521,35.0262,17.189,-6.26717
74.4238,34.9631,17.1628,-6.35564
74.5953,34.8991,17.1366,-6.44397
74.7666,34.8342,17.1105,-6.53216
74.9376,34.7684,17.0844,-6.62022
75.1083,34.7018,17.0583,-6.70814
75.2787,34.6343,17.0322,-6.79591
75.4489,34.5659,17.0062,-6.88355
75.6188,34.4966,16.9802,-6.97105
75.7885,34.4264,16.9542,-7.05841
75.9579,34.3554,16.9283,-7.14563
76.1271,34.2835,16.9023,-7.23272
76.296,34.2108,16.8764,-7.31966
76.4646,34.1371,16.8506,-7.40646
76.633,34.0626,16.8247,-7.49312
76.8011,33.9873,16.7989,-7.57965
76.969,33.9111,16.7731,-7.66603
77.1366,33.834,16.7473,-7.75227
77.3039,33.756,16.7215,-7.83837
77.471,33.6772,16.6958,-7.92433
77.6378,33.5975,16.6701,-8.01015
77.8044,33.517,16.6444,-8.09582
77.9707,33.4356,16.6187,-8.18136
78.1368,33.3534,16.593,-8.26675
78.3026,33.2703,16.5674,-8.352
78.4681,33.1863,16.5418,-8.43711
78.6334,33.1015,16.5162,-8.52207
78.7984,33.0159,16.4906,-8.60689
78.9632,32.9294,16.465,-8.69157
79.1277,32.8421,16.4395,-8.7761
79.292,32.7539,16.4139,-8.8605
79.456,32.6648,16.3884,-8.94474
79.6198,32.575,16.3629,-9.02884
79.7833,32.4843,16.3374,-9.1128
79.9465,32.3927,16.3119,-9.19661
80.1095,32.3003,16.2865,-9.28028
80.2723,32.2071,16.261,-9.3638
80.4347,32.1131,16.2356,-9.44718
80.597,32.0182,16.2102,-9.53041
80.7589,31.9225,16.1848,-9.61349
80.9207,31.8259,16.1594,-9.69643
81.0821,31.7285,16.134,-9.77922
81.2433,31.6303,16.1086,-9.86186
81.4043,31.5313,16.0832,-9.94435
81.565,31.4314,16.0579,-10.0267
81.7255,31.3308,16.0325,-10.1089
81.8857,31.2293,16.0072,-10.1909
82.0456,31.1269,15.9819,-10.2728
82.2053,31.0238,15.9566,-10.3546
82.3647,30.9198,15.9313,-10.4362
82.5239,30.8151,15.906,-10.5177
82.6829,30.7095,15.8807,-10.599
82.8415,30.6031,15.8554,-10.6801
83,30.4959,15.8301,-10.7611
83.1581,30.3879,15.8049,-10.842
83.3161,30.2791,15.7796,-10.9227
83.4737,30.1694,15.7544,-11.0032
83.6311,30.059,15.7291,-11.0836
83.7883,29.9478,15.7039,-11.1638
83.9452,29.8357,15.6787,-11.2439
84.1019,29.7229,15.6534,-11.3238
84.2583,29.6092,15.6282,-11.4036
84.4144,29.4948,15.603,-11.4833
84.5704,29.3796,15.5778,-11.5627
84.726,29.2635,15.5526,-11.642
84.8814,29.1467,15.5274,-11.7212
